year ,stream,sem,Course code ,Course,CO,CO Description,yr+stream+ course,course+co+ code
4th,ECE,7th,21EC751,"
Optical & Satellite Communication
",CO1,Describe the satellite orbits and its trajectories with the definitions of parameters associated with it.,"4th 7th 21EC751 
Optical & Satellite Communication
","
Optical & Satellite Communication
-CO1[Describe the satellite orbits and its trajectories with the definitions of parameters associated with it.](21EC751)"
4th,ECE,7th,21EC751,"
Optical & Satellite Communication
",CO2,Describe the electronic hardware systems associated with the satellite subsystem and earth station.,"4th 7th 21EC751 
Optical & Satellite Communication
","
Optical & Satellite Communication
-CO2[Describe the electronic hardware systems associated with the satellite subsystem and earth station.](21EC751)"
4th,ECE,7th,21EC751,"
Optical & Satellite Communication
",CO3,Describe the communication satellites with the focus on national satellite system.,"4th 7th 21EC751 
Optical & Satellite Communication
","
Optical & Satellite Communication
-CO3[Describe the communication satellites with the focus on national satellite system.](21EC751)"
4th,ECE,7th,21EC751,"
Optical & Satellite Communication
",CO4,Compute the satellite link parameters under various propagation conditions with the illustration of multiple access techniques.,"4th 7th 21EC751 
Optical & Satellite Communication
","
Optical & Satellite Communication
-CO4[Compute the satellite link parameters under various propagation conditions with the illustration of multiple access techniques.](21EC751)"
4th,ECE,7th,21EC751,"
Optical & Satellite Communication
",CO5,"Describe the satellites used for applications in remote sensing, weather forecasting and navigation.","4th 7th 21EC751 
Optical & Satellite Communication
","
Optical & Satellite Communication
-CO5[Describe the satellites used for applications in remote sensing, weather forecasting and navigation.](21EC751)"
2nd ,ISE,4th,CS422T4C, DESIGN AND ANALYSIS OF ALGORITHMS,CO1,"Solve the time complexity of recursive, non-recursive and brute force algorithms using asymptotic notations. ",2nd  4th CS422T4C  DESIGN AND ANALYSIS OF ALGORITHMS," DESIGN AND ANALYSIS OF ALGORITHMS-CO1[Solve the time complexity of recursive, non-recursive and brute force algorithms using asymptotic notations. ](CS422T4C)"
2nd ,ISE,4th,CS422T4C, DESIGN AND ANALYSIS OF ALGORITHMS,CO2,"Solve the recurrence relation to obtain the performance of divide-and-conquer, decrease-and conquer approach. ",2nd  4th CS422T4C  DESIGN AND ANALYSIS OF ALGORITHMS," DESIGN AND ANALYSIS OF ALGORITHMS-CO2[Solve the recurrence relation to obtain the performance of divide-and-conquer, decrease-and conquer approach. ](CS422T4C)"
2nd ,ISE,4th,CS422T4C, DESIGN AND ANALYSIS OF ALGORITHMS,CO3,"Apply greedy technique, transform and conquer strategy to solve the problem for optimal solution. ",2nd  4th CS422T4C  DESIGN AND ANALYSIS OF ALGORITHMS," DESIGN AND ANALYSIS OF ALGORITHMS-CO3[Apply greedy technique, transform and conquer strategy to solve the problem for optimal solution. ](CS422T4C)"
2nd ,ISE,4th,CS422T4C, DESIGN AND ANALYSIS OF ALGORITHMS,CO4,Determine the time complexity for Dynamic-Programming paradigm and String-matching techniques. ,2nd  4th CS422T4C  DESIGN AND ANALYSIS OF ALGORITHMS, DESIGN AND ANALYSIS OF ALGORITHMS-CO4[Determine the time complexity for Dynamic-Programming paradigm and String-matching techniques. ](CS422T4C)
2nd ,ISE,4th,CS422T4C, DESIGN AND ANALYSIS OF ALGORITHMS,CO5,"Apply backtracking and branch-and-bound approach on combinatorial problems and categorize algorithms as P, NP, NP-complete and NP-hard classes. ",2nd  4th CS422T4C  DESIGN AND ANALYSIS OF ALGORITHMS," DESIGN AND ANALYSIS OF ALGORITHMS-CO5[Apply backtracking and branch-and-bound approach on combinatorial problems and categorize algorithms as P, NP, NP-complete and NP-hard classes. ](CS422T4C)"
4th,ME,7th,21ME742, NON CONVENTIONAL ENERGY RESOURCES ,CO1,"To introduce the concepts of solar energy, its radiation, collection, storage and application.",4th 7th 21ME742  NON CONVENTIONAL ENERGY RESOURCES ," NON CONVENTIONAL ENERGY RESOURCES -CO1[To introduce the concepts of solar energy, its radiation, collection, storage and application.](21ME742)"
4th,ME,7th,21ME742, NON CONVENTIONAL ENERGY RESOURCES ,CO2,"To introduce the concepts and applications of Wind energy, Biomass energy, Geothermal energy and Ocean energy as alternative energy sources",4th 7th 21ME742  NON CONVENTIONAL ENERGY RESOURCES ," NON CONVENTIONAL ENERGY RESOURCES -CO2[To introduce the concepts and applications of Wind energy, Biomass energy, Geothermal energy and Ocean energy as alternative energy sources](21ME742)"
4th,ME,7th,21ME742, NON CONVENTIONAL ENERGY RESOURCES ,CO3,To explore society’s present needs and future energy demands,4th 7th 21ME742  NON CONVENTIONAL ENERGY RESOURCES , NON CONVENTIONAL ENERGY RESOURCES -CO3[To explore society’s present needs and future energy demands](21ME742)
