common tag ( try to make this based on subject),Domain,knowlegde set,skill knowledge,engineering programs ,subject and co to map ,,,,
,,,,,,,,,
electronics,Embedded systems,microcontrollers - arduino,Sensor and actuator Integration - BL3,ECE,Basic Electronics Engineering-CO5[Interpret the transducers principle in sensor network and communication system.](EC122T3E/EC222T3E),Engineering Chemistry-CO4[Explain the working principle of sensor devices and energy systems.](CY122I2C/ CY222I2C),Micro Electro Mechanical Systems-CO3[Analyse the electrostatic sensing and actuation principles and investigate design issues related to developing micromachined thermal sensors and actuators.](21EC644),Sensors and Instrumentation-CO1[Identify appropriate sensors and components for a given measurement requirement and demonstrate how they fit into the overall system.](EC322T6EB),
electronics,Embedded systems,microcontrollers - arduino,Sensor and actuator Integration - BL4,ECE,"Sensors and Instrumentation-CO3[Elucidate the working principle and usage of different transducers for temperature, displacement and level measurement.](EC322T6EB)",Sensors and Instrumentation-CO4[Illustrate with examples how different actuators are used in industrial settings.](EC322T6EB),"Sensors and Instrumentation-CO5[Infer the principle and working of strain, force and torque measurement.](EC322T6EB)",,
electronics,Embedded systems,microcontrollers - arduino,Sensor and actuator Integration - BL5,RA,"ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO2[Organize the DAQ systems using sensor, timers and counters. ](EC422I1R)",INTRODUCTION TO ROBOTICS -CO3[Describe the applications of sensors and actuators in robotics. ](RA322T6R (A) ),,,
electronics,Embedded systems,microcontrollers - arduino,basic GPIO programs - BL3,CSE,Logic Design and Embedded Systems-CO4[Use ISA (Instruction Set architecture) of ARM controller to develop programs.](CS322I2C),Logic Design and Embedded Systems-CO5[Interface the peripheral devices with ARM microcontroller](CS322I2C),,,
electronics,Embedded systems,microcontrollers - arduino,basic GPIO programs - BL4,RA,"OBJECT ORIENTED PROGRAMMING WITH C++-CO5[Analyze and explore various Stream classes, I/O operations and exception handling ](CS422T4R)","MICROCONTROLLER AND PLC -CO3[Explain the Interrupt system, operation of Timers/Counters and Serial port of 8051.](21AR62)",,,
electronics,Embedded systems,microcontrollers - arduino,basic GPIO programs - BL5,ECE,ARM Embedded Systems-CO4[Develop the hardware-software co-design and firmware design approaches.](21EC753),,,,
electronics,Embedded systems,microcontrollers - arduino,timers and interrupts utilization - BL3,RA,"ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO2[Organize the DAQ systems using sensor, timers and counters. ](EC422I1R)","MICROCONTROLLER AND PLC -CO3[Explain the Interrupt system, operation of Timers/Counters and Serial port of 8051.](21AR62)","MICROCONTROLLER AND PLC -CO5[Describe PLC ON/OFF delay, Programming PLC timers and counters.](21AR62)",,
electronics,Embedded systems,microcontrollers - arduino,timers and interrupts utilization - BL4,ECE,"Analog Electronic Circuits -CO5[Design of circuits using linear IC s for a wide range of applications such as ADC, DAC filters and timers.](EC322I3E)",,,,
electronics,Embedded systems,microcontrollers - arduino,timers and interrupts utilization - BL5,ECE,,,,,
electronics,Embedded systems,microcontrollers - arduino,Communication Protocols - Bl3,ECE,Basic Electronics Engineering-CO5[Interpret the transducers principle in sensor network and communication system.](EC122T3E/EC222T3E),Communication Engineering-CO5[Describe the principles of wireless communications system.](21EC754),Communication Engineering-CO1[Describe operation of communication systems.](21EC754),Introduction to Electrical Engineering-CO5[Demonstrate electrical circuit and safety precautions in handling domestic appliances.](EC122I4X/ EC222I4X),"
Optical & Satellite Communication
-CO4[Compute the satellite link parameters under various propagation conditions with the illustration of multiple access techniques.](21EC751)"
electronics,Embedded systems,microcontrollers - arduino,Communication Protocols - Bl4,ECE,,,,,
electronics,Embedded systems,microcontrollers - arduino,Communication Protocols - Bl5,ECE,Communication Engineering-CO2[Explain the techniques of Amplitude and Angle modulation.](21EC754),Communication Engineering-CO3[Explain the concept of sampling and quantization.](21EC754),Communication Engineering-CO4[Interpret the concepts of different digital modulation techniques.](21EC754),,
electronics,Embedded systems,"Microcontrollers (e.g., STM32, PIC","Implementing real-time communication protocols (I2C, SPI) - BL3",ECE,Communication Engineering-CO2[Explain the techniques of Amplitude and Angle modulation.](21EC754),Communication Engineering-CO3[Explain the concept of sampling and quantization.](21EC754),Communication Engineering-CO4[Interpret the concepts of different digital modulation techniques.](21EC754),Communication Laboratory -CO1[Build active filter circuits using an operational amplifier.](EC422L5E),Communication Laboratory -CO2[Utilize AM and FM modulation and demodulation for time domain signals.](EC422L5E)
electronics,Embedded systems,"Microcontrollers (e.g., STM32, PIC","Implementing real-time communication protocols (I2C, SPI) - BL4",ECE,"Communication Laboratory -CO3[Construct and test the sampling, multiplexing, and pulse amplitude modulation circuits.](EC422L5E)",Communication Laboratory -CO4[Develop the basic circuitry and operations used in AM and FM receivers.](EC422L5E),Communication Laboratory -CO5[Simulate the functioning of analog and digital modulation methods using SCILAB/ MATLAB.](EC422L5E),Computer Communication Networks -CO1[Understand network models and data link layer ideas. Design and implement algorithms for framing.](21EC51),Computer Communication Networks -CO2[Identify the protocols and services of the data link layer. Design the different multiple access protocols and understand the working of Ethernet.](21EC51)
electronics,Embedded systems,"Microcontrollers (e.g., STM32, PIC","Implementing real-time communication protocols (I2C, SPI) - BL5",ECE,Computer Communication Networks -CO3[Demonstrate a clear understanding of different addressing mechanisms to the network layer and identify different connecting devices. Implement a network model and determine the routing of packets using different routing algorithms.](21EC51),Computer Communication Networks -CO4[Identify different protocols related to the transport layer.](21EC51),Computer Communication Networks -CO5[Demonstrate application layer protocols and their application.](21EC51),Digital Communication -CO1[Analyze different digital modulation techniques and choose the appropriate modulation technique for the given specifications](21EC53),Introduction to Electrical Engineering-CO5[Demonstrate electrical circuit and safety precautions in handling domestic appliances.](EC122I4X/ EC222I4X)
electronics,Embedded systems,"Microcontrollers (e.g., STM32, PIC",Developing drivers for peripherals like ADC/DAC - BL3,ECE,"Analog Electronic Circuits -CO5[Design of circuits using linear IC s for a wide range of applications such as ADC, DAC filters and timers.](EC322I3E)",ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO1[Identify the types of transducers and measurement system for measuring applications. ](EC422I1R),,,
electronics,Embedded systems,"Microcontrollers (e.g., STM32, PIC",Developing drivers for peripherals like ADC/DAC - BL4,RA,"MICROCONTROLLER AND PLC -CO3[Explain the Interrupt system, operation of Timers/Counters and Serial port of 8051.](21AR62)","MICROCONTROLLER AND PLC -CO5[Describe PLC ON/OFF delay, Programming PLC timers and counters.](21AR62)","ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO2[Organize the DAQ systems using sensor, timers and counters. ](EC422I1R)","ANALOG AND DIGITAL ELECTRONICS CIRCUITS -CO5[Analyze the control systems with the aid of block diagram reduction, signal flow graphs, and frequency response diagrams. ](EC422I1R)",
electronics,Embedded systems,"Microcontrollers (e.g., STM32, PIC",Developing drivers for peripherals like ADC/DAC - BL5,ECE,ARM Embedded Systems-CO4[Develop the hardware-software co-design and firmware design approaches.](21EC753),,,,
electronics,Embedded systems,"Microcontrollers (e.g., STM32, PIC",Using DMA for optimized performance - BL3,ECE,Basic Electronics Engineering-CO4[Apply the concepts of digital logic engineering in data representation and digital circuits.](EC122T3E/EC222T3E),Digital Communication -CO2[Identify the performance parameters at the receiver under ideal and corrupted bandlimited channels.](21EC53),"Introduction to Electrical Engineering-CO3[Interpret the Working principles, Construction and performance characteristics of Electrical DC Machines.](EC122I4X/ EC222I4X)",Computer Organization & ARM Microcontrollers -CO3[Describe the instruction set of 32-bit microcontroller ARM Cortex M3 and apply the knowledge gained in programming ARM Cortex M3 for different applications.](21EC62),
electronics,Embedded systems,"Microcontrollers (e.g., STM32, PIC",Using DMA for optimized performance - BL4,ECE,Computer Organization & ARM Microcontrollers -CO2[Illustrate memory hierarchy and various memory management techniques to improve the computer's performance.](21EC62),,,,
electronics,Embedded systems,"Microcontrollers (e.g., STM32, PIC",Using DMA for optimized performance - BL5,ECE,ARM Embedded Systems-CO3[Understand the basic hardware components and their selection method based on the characteristics and attributes of an embedded system.](21EC753),,,,
electronics,Embedded systems,"Microcontrollers (e.g., STM32, PIC",Debugging with JTAG and logic analyzers - BL3,ECE,Basic Electronics Engineering-CO4[Apply the concepts of digital logic engineering in data representation and digital circuits.](EC122T3E/EC222T3E),"Analysis and Design of Digital Circuits-CO2[Construct combinational logic circuits like Multiplexers, Encoders, Decoders, Adders, Subtractors and Comparators.](EC322I2E)",Analysis and Design of Digital Circuits-CO3[Demonstrate building blocks of sequential logic circuits.](EC322I2E),Microelectronic Circuits-CO5[Design CMOS logic circuits by building on the study of CMOS inverter.](EC422I2E),Microelectronic Circuits-CO5[Design CMOS logic circuits by building on the study of CMOS inverter.](21EC52)
electronics,Embedded systems,"Microcontrollers (e.g., STM32, PIC",Debugging with JTAG and logic analyzers - BL4,ECE,"VLSI Design & Testing-CO3[Demonstrate ability to design Combinational, sequential, and dynamic logic circuits as per the requirements.](21EC63)",VLSI Design & Testing-CO4[Analyse pass transistor circuits and dynamic CMOS techniques to design dynamic logic circuits for specific applications.](21EC63),VLSI Design & Testing-CO5[Investigate the accuracy of digital circuits and manufacturing test concepts using logic verification techniques.](21EC63),,
electronics,Embedded systems,"Microcontrollers (e.g., STM32, PIC",Debugging with JTAG and logic analyzers - BL5,ECE,,,,,
electronics,Embedded systems,microcontrollers - arduino,Hardware-in-the-Loop (HIL) Testing- BL3,ECE,Simulink Programming Basics -CO1[Develop an electronic circuit to generate the waveform](EC32298ED),Communication Laboratory -CO5[Simulate the functioning of analog and digital modulation methods using SCILAB/ MATLAB.](EC422L5E),VLSI Design & Testing-CO5[Investigate the accuracy of digital circuits and manufacturing test concepts using logic verification techniques.](21EC63),,VLSI Design & Testing-CO5[Investigate the accuracy of digital circuits and manufacturing test concepts using logic verification techniques.](21EC63)
electronics,Embedded systems,microcontrollers - arduino,Hardware-in-the-Loop (HIL) Testing- BL4,RA,"MICROCONTROLLER AND PLC -CO3[Explain the Interrupt system, operation of Timers/Counters and Serial port of 8051.](21AR62)","MICROCONTROLLER AND PLC -CO5[Describe PLC ON/OFF delay, Programming PLC timers and counters.](21AR62)",VIRTUAL INSTRUMENTATION LAB-CO5[Demonstrate problem-solving skills by solving real-world problems through programming. ](21ARL55),,
